player1,player2,line1,line2,pred1,pred2,model_side1,model_side2,prob1,prob2,prob_both,edge1,edge2,combined_edge,ev_percent,kelly_full,recommendation,confidence_interval1,confidence_interval2,interval_width1,interval_width2,sigma1,sigma2,sigma_flag1,sigma_flag2,simulation_method
Aaron Gordon,Chris Paul,15.5,4.5,24.31,9.01,over,over,0.946,0.836,0.7118,0.368,0.258,0.313,1.14,0.568,0,"(12.9, 35.7)","(0.0, 19.6)",22.74,19.57,5.8,5.39,Med,Med,Monte Carlo
Sion James,Aaron Gordon,5.5,15.5,10.28,24.31,over,over,0.836,0.946,0.712,0.258,0.368,0.313,1.14,0.568,0,"(0.0, 21.5)","(12.9, 35.7)",21.46,22.74,5.7,5.8,Med,Med,Monte Carlo
Jaylin Williams,Aaron Gordon,5.5,15.5,9.99,24.31,over,over,0.83,0.946,0.7066,0.252,0.368,0.31,1.12,0.56,0,"(0.0, 20.7)","(12.9, 35.7)",20.72,22.74,5.48,5.8,Med,Med,Monte Carlo
Corey Kispert,Aaron Gordon,6.5,15.5,10.5,24.31,over,over,0.784,0.946,0.6677,0.206,0.368,0.287,1.0,0.502,0,"(0.0, 22.2)","(12.9, 35.7)",22.22,22.74,5.98,5.8,Med,Med,Monte Carlo
Sion James,Chris Paul,5.5,4.5,10.28,9.01,over,over,0.836,0.836,0.6289,0.258,0.258,0.258,0.89,0.443,0,"(0.0, 21.5)","(0.0, 19.6)",21.46,19.57,5.7,5.39,Med,Med,Monte Carlo
Alex Caruso,Aaron Gordon,8.0,15.5,11.03,24.31,over,over,0.735,0.946,0.6262,0.157,0.368,0.263,0.88,0.439,0,"(0.0, 22.2)","(12.9, 35.7)",22.18,22.74,5.69,5.8,Med,Med,Monte Carlo
Sion James,Jaylin Williams,5.5,5.5,10.28,9.99,over,over,0.836,0.83,0.6243,0.258,0.252,0.255,0.87,0.436,0,"(0.0, 21.5)","(0.0, 20.7)",21.46,20.72,5.7,5.48,Med,Med,Monte Carlo
Jaylin Williams,Chris Paul,5.5,4.5,9.99,9.01,over,over,0.83,0.836,0.6241,0.252,0.258,0.255,0.87,0.436,0,"(0.0, 20.7)","(0.0, 19.6)",20.72,19.57,5.48,5.39,Med,Med,Monte Carlo
Keldon Johnson,Aaron Gordon,11.5,15.5,14.12,24.31,over,over,0.714,0.946,0.6082,0.136,0.368,0.252,0.82,0.412,0,"(3.4, 24.8)","(12.9, 35.7)",21.37,22.74,5.45,5.8,Med,Med,Monte Carlo
Corey Kispert,Chris Paul,6.5,4.5,10.5,9.01,over,over,0.784,0.836,0.5897,0.206,0.258,0.232,0.77,0.385,0,"(0.0, 22.2)","(0.0, 19.6)",22.22,19.57,5.98,5.39,Med,Med,Monte Carlo
Sion James,Corey Kispert,5.5,6.5,10.28,10.5,over,over,0.836,0.784,0.5899,0.258,0.206,0.232,0.77,0.385,0,"(0.0, 21.5)","(0.0, 22.2)",21.46,22.22,5.7,5.98,Med,Med,Monte Carlo
Corey Kispert,Jaylin Williams,6.5,5.5,10.5,9.99,over,over,0.784,0.83,0.5854,0.206,0.252,0.229,0.76,0.378,0,"(0.0, 22.2)","(0.0, 20.7)",22.22,20.72,5.98,5.48,Med,Med,Monte Carlo
Harrison Barnes,Aaron Gordon,9.5,15.5,11.58,24.31,over,over,0.668,0.946,0.5687,0.09,0.368,0.229,0.71,0.353,0,"(0.5, 22.6)","(12.9, 35.7)",22.08,22.74,5.63,5.8,Med,Med,Monte Carlo
Sion James,Alex Caruso,5.5,8.0,10.28,11.03,over,over,0.836,0.735,0.5532,0.258,0.157,0.208,0.66,0.33,0,"(0.0, 21.5)","(0.0, 22.2)",21.46,22.18,5.7,5.69,Med,Med,Monte Carlo
