player1,player2,line1,line2,pred1,pred2,model_side1,model_side2,prob1,prob2,prob_both,edge1,edge2,combined_edge,ev_percent,kelly_full,recommendation,confidence_interval1,confidence_interval2,interval_width1,interval_width2,sigma1,sigma2,sigma_flag1,sigma_flag2,simulation_method
Steven Adams,Taylor Hendricks,4.5,4.5,12.19,11.85,over,over,0.916,0.904,0.7448,0.338,0.326,0.332,1.23,0.617,0,"(1.3, 23.1)","(0.6, 23.1)",21.75,22.54,5.55,5.75,Med,Med,Monte Carlo
Steven Adams,Aaron Gordon,4.5,16.5,12.19,22.28,over,over,0.916,0.872,0.719,0.338,0.294,0.316,1.16,0.579,0,"(1.3, 23.1)","(12.1, 32.5)",21.75,20.37,5.55,5.2,Med,Med,Monte Carlo
Steven Adams,Oso Ighodaro,4.5,5.5,12.19,11.97,over,over,0.916,0.873,0.7196,0.338,0.295,0.316,1.16,0.579,0,"(1.3, 23.1)","(0.6, 23.3)",21.75,22.74,5.55,5.8,Med,Med,Monte Carlo
Josh Okogie,Taylor Hendricks,8.5,4.5,16.27,11.85,over,over,0.88,0.904,0.7158,0.302,0.326,0.314,1.15,0.574,0,"(3.3, 29.2)","(0.6, 23.1)",25.85,22.54,6.59,5.75,High,Med,Monte Carlo
Steven Adams,Tristan da Silva,4.5,6.5,12.19,13.64,over,over,0.916,0.865,0.7126,0.338,0.287,0.312,1.14,0.569,0,"(1.3, 23.1)","(0.6, 26.7)",21.75,26.05,5.55,6.64,Med,High,Monte Carlo
Taylor Hendricks,Oso Ighodaro,4.5,5.5,11.85,11.97,over,over,0.898,0.873,0.7055,0.32,0.295,0.307,1.12,0.558,0,"(0.6, 23.1)","(0.6, 23.3)",22.54,22.74,5.75,5.8,Med,Med,Monte Carlo
Aaron Gordon,Taylor Hendricks,16.5,4.5,22.28,11.85,over,over,0.867,0.904,0.7053,0.289,0.326,0.307,1.12,0.558,0,"(12.1, 32.5)","(0.6, 23.1)",20.37,22.54,5.2,5.75,Med,Med,Monte Carlo
Steven Adams,Kentavious Caldwell-Pope,4.5,8.5,12.19,16.45,over,over,0.916,0.849,0.6996,0.338,0.271,0.304,1.1,0.549,0,"(1.3, 23.1)","(0.8, 32.1)",21.75,31.36,5.55,8.0,Med,High,Monte Carlo
Tristan da Silva,Taylor Hendricks,6.5,4.5,13.64,11.85,over,over,0.858,0.904,0.6981,0.28,0.326,0.303,1.09,0.547,0,"(0.6, 26.7)","(0.6, 23.1)",26.05,22.54,6.64,5.75,High,Med,Monte Carlo
Reed Sheppard,Taylor Hendricks,9.5,4.5,18.86,11.85,over,over,0.852,0.904,0.6931,0.274,0.326,0.3,1.08,0.54,0,"(1.4, 36.4)","(0.6, 23.1)",35.0,22.54,8.93,5.75,High,Med,Monte Carlo
Steven Adams,Josh Giddey,4.5,18.5,12.19,27.13,over,over,0.916,0.843,0.695,0.338,0.265,0.301,1.08,0.542,0,"(1.3, 23.1)","(9.7, 44.6)",21.75,34.88,5.55,8.9,Med,High,Monte Carlo
Josh Okogie,Aaron Gordon,8.5,16.5,16.27,22.28,over,over,0.88,0.872,0.6911,0.302,0.294,0.298,1.07,0.537,0,"(3.3, 29.2)","(12.1, 32.5)",25.85,20.37,6.59,5.2,High,Med,Monte Carlo
Josh Okogie,Oso Ighodaro,8.5,5.5,16.27,11.97,over,over,0.88,0.873,0.6917,0.302,0.295,0.299,1.07,0.537,0,"(3.3, 29.2)","(0.6, 23.3)",25.85,22.74,6.59,5.8,High,Med,Monte Carlo
Kevin Durant,Taylor Hendricks,25.5,4.5,34.19,11.85,over,over,0.85,0.904,0.6915,0.272,0.326,0.299,1.07,0.537,0,"(17.8, 50.6)","(0.6, 23.1)",32.83,22.54,8.38,5.75,High,Med,Monte Carlo
Taylor Hendricks,Kentavious Caldwell-Pope,4.5,8.5,11.85,16.45,over,over,0.898,0.849,0.6858,0.32,0.271,0.295,1.06,0.529,0,"(0.6, 23.1)","(0.8, 32.1)",22.54,31.36,5.75,8.0,Med,High,Monte Carlo
Josh Okogie,Tristan da Silva,8.5,6.5,16.27,13.64,over,over,0.88,0.865,0.6849,0.302,0.287,0.294,1.05,0.527,0,"(3.3, 29.2)","(0.6, 26.7)",25.85,26.05,6.59,6.64,High,High,Monte Carlo
Aaron Gordon,Oso Ighodaro,16.5,5.5,22.28,11.97,over,over,0.867,0.873,0.6815,0.289,0.295,0.292,1.04,0.522,0,"(12.1, 32.5)","(0.6, 23.3)",20.37,22.74,5.2,5.8,Med,Med,Monte Carlo
Josh Giddey,Taylor Hendricks,18.5,4.5,27.13,11.85,over,over,0.832,0.904,0.6763,0.254,0.326,0.29,1.03,0.514,0,"(9.7, 44.6)","(0.6, 23.1)",34.88,22.54,8.9,5.75,High,Med,Monte Carlo
Tristan da Silva,Oso Ighodaro,6.5,5.5,13.64,11.97,over,over,0.858,0.873,0.6745,0.28,0.295,0.288,1.02,0.512,0,"(0.6, 26.7)","(0.6, 23.3)",26.05,22.74,6.64,5.8,High,Med,Monte Carlo
Tristan da Silva,Aaron Gordon,6.5,16.5,13.64,22.28,over,over,0.858,0.872,0.674,0.28,0.294,0.287,1.02,0.511,0,"(0.6, 26.7)","(12.1, 32.5)",26.05,20.37,6.64,5.2,High,Med,Monte Carlo
